RawData,FilteredData(graus/s),FilteredData(rad/s),Angles(rad)
-0.304878,-0.460374,-0.00803504,-0.00446336
-0.304878,-0.429275,-0.00749226,-0.00450082
-0.304878,-0.404395,-0.00705803,-0.00453611
-0.304878,-0.384492,-0.00671065,-0.00456966
-0.365854,-0.380764,-0.00664559,-0.00460289
-0.365854,-0.377782,-0.00659354,-0.00463586
-0.426829,-0.387592,-0.00676475,-0.00466968
-0.426829,-0.395439,-0.00690171,-0.00470419
-0.426829,-0.401717,-0.00701129,-0.00473925
-0.426829,-0.40674,-0.00709894,-0.00477474
-0.426829,-0.410758,-0.00716907,-0.00481059
-0.182927,-0.365191,-0.00637379,-0.00484246
-0.182927,-0.328738,-0.00573757,-0.00487114
-0.121951,-0.287381,-0.00501574,-0.00489622
-0.121951,-0.254295,-0.00443829,-0.00491841
-0.121951,-0.227826,-0.00397632,-0.0049383
-0.121951,-0.206651,-0.00360675,-0.00495633
-0.243902,-0.214102,-0.00373678,-0.00497501
-0.243902,-0.220062,-0.0038408,-0.00499422
-0.243902,-0.22483,-0.00392402,-0.00501384
-0.426829,-0.26523,-0.00462913,-0.00503698
-0.426829,-0.29755,-0.00519322,-0.00506295
-0.426829,-0.323406,-0.00564449,-0.00509117
-0.304878,-0.3197,-0.00557982,-0.00511907
-0.304878,-0.316736,-0.00552808,-0.00514671
-0.304878,-0.314364,-0.00548669,-0.00517414
-0.304878,-0.312467,-0.00545358,-0.00520141
-0.304878,-0.310949,-0.00542709,-0.00522855
-0.304878,-0.309735,-0.00540589,-0.00525558
-0.54878,-0.357544,-0.00624032,-0.00528678
-0.54878,-0.395791,-0.00690786,-0.00532132
-0.54878,-0.426389,-0.00744189,-0.00535853
-0.54878,-0.450867,-0.00786912,-0.00539787
-0.54878,-0.47045,-0.0082109,-0.00543893
-0.670732,-0.510506,-0.00891002,-0.00548348
-0.670732,-0.542551,-0.00946931,-0.00553082
-0.609756,-0.555992,-0.0097039,-0.00557934
-0.609756,-0.566745,-0.00989157,-0.0056288
-0.609756,-0.575347,-0.0100417,-0.00567901
-0.609756,-0.582229,-0.0101618,-0.00572982
-0.365854,-0.538954,-0.00940652,-0.00577685
-0.365854,-0.504334,-0.00880229,-0.00582086
-0.365854,-0.476638,-0.0083189,-0.00586246
-0.304878,-0.442286,-0.00771935,-0.00590105
-0.304878,-0.414804,-0.0072397,-0.00593725
-0.304878,-0.392819,-0.00685599,-0.00597153
-0.304878,-0.375231,-0.00654901,-0.00600428
-0.487805,-0.397746,-0.00694197,-0.00603899
-0.487805,-0.415758,-0.00725634,-0.00607527
-0.304878,-0.393582,-0.0068693,-0.00610962
-0.304878,-0.375841,-0.00655966,-0.00614241
-0.304878,-0.361648,-0.00631195,-0.00617397
-0.304878,-0.350294,-0.00611379,-0.00620454
-0.304878,-0.341211,-0.00595526,-0.00623432
-0.54878,-0.382725,-0.00667981,-0.00626772
-0.54878,-0.415936,-0.00725945,-0.00630402
-0.426829,-0.418115,-0.00729748,-0.0063405
-0.426829,-0.419858,-0.0073279,-0.00637714
-0.426829,-0.421252,-0.00735223,-0.0064139
-0.426829,-0.422367,-0.0073717,-0.00645076
-0.243902,-0.386674,-0.00674874,-0.00648451
-0.243902,-0.35812,-0.00625037,-0.00651576
-0.243902,-0.335276,-0.00585168,-0.00654502
-0.54878,-0.377977,-0.00659695,-0.006578
-0.54878,-0.412138,-0.00719316,-0.00661397
-0.54878,-0.439466,-0.00767014,-0.00665232
-0.54878,-0.461329,-0.00805171,-0.00669258
-0.54878,-0.47882,-0.00835698,-0.00673436
-0.54878,-0.492812,-0.00860119,-0.00677737
-0.54878,-0.504005,-0.00879655,-0.00682135
-0.365854,-0.476375,-0.00831431,-0.00686292
-0.365854,-0.454271,-0.00792852,-0.00690256
-0.670732,-0.497563,-0.00868411,-0.00694598
-0.670732,-0.532197,-0.00928859,-0.00699243
-0.670732,-0.559904,-0.00977216,-0.00704129
-0.670732,-0.582069,-0.010159,-0.00709208
-0.426829,-0.551021,-0.00961714,-0.00714017
-0.426829,-0.526183,-0.00918362,-0.00718609
-0.426829,-0.506312,-0.00883681,-0.00723027
-0.426829,-0.490416,-0.00855937,-0.00727307
-0.54878,-0.502089,-0.0087631,-0.00731688
-0.54878,-0.511427,-0.00892608,-0.00736151
-0.54878,-0.518898,-0.00905647,-0.0074068
-0.243902,-0.463899,-0.00809656,-0.00744728
-0.243902,-0.419899,-0.00732863,-0.00748392
-0.243902,-0.3847,-0.00671428,-0.00751749
-0.0609756,-0.319955,-0.00558427,-0.00754541
-0.0609756,-0.268159,-0.00468026,-0.00756882
-0.0609756,-0.226722,-0.00395705,-0.0075886
-0.0609756,-0.193573,-0.00337849,-0.00760549
-0.609756,-0.27681,-0.00483124,-0.00762965
-0.609756,-0.343399,-0.00599344,-0.00765962
-0.731707,-0.421061,-0.00734889,-0.00769636
-0.731707,-0.48319,-0.00843326,-0.00773853
-0.731707,-0.532893,-0.00930075,-0.00778503
-0.731707,-0.572656,-0.00999474,-0.00783501
-0.54878,-0.567881,-0.00991139,-0.00788456
-0.54878,-0.564061,-0.00984472,-0.00793379
-0.54878,-0.561005,-0.00979138,-0.00798274
-0.54878,-0.55856,-0.00974871,-0.00803149
-0.426829,-0.532214,-0.00928888,-0.00807793
-0.426829,-0.511137,-0.00892102,-0.00812254
-0.54878,-0.518666,-0.00905242,-0.0081678
-0.54878,-0.524689,-0.00915754,-0.00821359
-0.54878,-0.529507,-0.00924164,-0.00825979
-0.54878,-0.533362,-0.00930892,-0.00830634
-0.731707,-0.573031,-0.0100013,-0.00835634
-0.731707,-0.604766,-0.0105552,-0.00840912
-0.731707,-0.630154,-0.0109983,-0.00846411
-0.365854,-0.577294,-0.0100757,-0.00851449
-0.365854,-0.535006,-0.00933762,-0.00856118
-0.365854,-0.501176,-0.00874716,-0.00860491
-0.365854,-0.474111,-0.0082748,-0.00864629
-0.243902,-0.428069,-0.00747122,-0.00868364
-0.243902,-0.391236,-0.00682836,-0.00871779
-0.243902,-0.361769,-0.00631407,-0.00874936
-0.365854,-0.362586,-0.00632832,-0.008781
-0.365854,-0.36324,-0.00633973,-0.0088127
-0.365854,-0.363762,-0.00634885,-0.00884444
-0.304878,-0.351986,-0.00614331,-0.00887516
-0.304878,-0.342564,-0.00597887,-0.00890505
-0.304878,-0.335027,-0.00584732,-0.00893429
-0.304878,-0.328997,-0.00574208,-0.008963
-0.731707,-0.409539,-0.00714781,-0.00899874
-0.731707,-0.473973,-0.00827239,-0.0090401
